732,2
676,2
687,2
697,2
674,2
499,2
496,2
598,2
684,2
415,2
275,2
538,2
672,2
637,2
466,2
530,2
371,2
456,2
510,2
523,2
436,2
197,2
245,2
285,2
372,2
394,2
486,2
519,2
418,2
346,2
313,2
299,2
310,2
295,2
374,2
453,2
498,2
469,2
450,2
446,2
357,2
276,5
277,5
679,5
683,5
685,5
664,5
665,5
669,5
467,5
468,5
689,5
422,5
423,5
594,5
602,5
647,5
590,5
591,5
677,5
729,5
730,5
613,5
512,5
642,5
643,5
343,5
344,5
704,5
584,5
585,5
625,5
328,5
335,5
668,5
556,5
557,5
649,5
249,5
250,5
554,5
485,5
432,5
332,5
392,5
503,5
576,5
571,5
427,5
401,5
214,5
215,5
375,5
376,5
400,5
507,5
525,5
365,5
398,5
270,5
271,5
487,5
438,5
589,5
409,5
206,5
204,5
205,5
300,5
301,5
319,5
320,5
542,5
521,5
528,5
382,5
437,5
440,5
484,5
476,5
559,5
524,5
412,5
424,5
340,5
341,5
199,5
200,5
