2,217652315.50000,217652315.50000,216528417.00000,81720,81720,80715,552
3,150764815.50000,150764815.50000,150764815.50000,79710,79710,79710,556
4,216735212.50000,216735212.50000,216735212.50000,79710,79710,79710,556
5,59520302.00000,59520302.00000,58628738.50000,81720,81720,79320,550
6,63734820.50000,63734820.50000,63170748.00000,81720,81720,80280,552
7,29287117.50000,29287117.50000,29154595.00000,76530,76530,76140,699
8,34485050.50000,34485050.50000,33850599.00000,76530,76530,75315,699
9,19346501.00000,19346501.00000,19202739.50000,76530,76530,76050,699
10,11964341.50000,11964341.50000,11774670.50000,76530,76530,75525,699
11,13441708.00000,13441708.00000,13184462.50000,76530,76530,75600,699
12,24186046.00000,24186046.00000,24186046.00000,68610,68610,68610,445
13,24627885.00000,24627885.00000,24355694.00000,67440,67440,66675,459
14,20102950.00000,20102950.00000,20102950.00000,68610,68610,68610,445
15,12577983.00000,12577983.00000,12109912.00000,70680,70680,68865,482
16,10772987.50000,10772987.50000,10657005.50000,70470,70470,70020,477
17,18890655.00000,18890655.00000,18890655.00000,93600,93600,93600,695
18,31658222.00000,31658222.00000,31047847.00000,93600,93600,92025,695
19,17176297.00000,17176297.00000,17169352.00000,93600,93600,93570,695
20,10586508.00000,10586508.00000,10452026.50000,93600,93600,92340,695
21,13906270.00000,13906270.00000,13731461.50000,93600,93600,92445,695
